"Distance (kilomètres)","Paris","Lyon","Nice","Nantes","Strasbourg","Montpellier","Lille","Rennes","Reims","Saint-Étienne","Angers","Grenoble","Nîmes","Aix-en-Provence","Brest"
"Paris","","462","931","380","488","746","219","348","143","522","293","575","710","759","589"
"Lyon","462","","472","681","494","302","689","718","487","62","594","107","251","299","970"
"Nice","930","471","","1143","790","326","1157","1186","955","490","1062","465","279","176","1440"
"Nantes","380","682","1145","","860","824","597","107","515","662","88","786","874","972","296"
"Strasbourg","487","491","788","860","","791","549","827","347","550","773","533","739","787","1069"
"Montpellier","746","303","327","823","791","","963","895","787","322","771","297","56","154","1120"
"Lille","217","690","1159","598","522","963","","572","199","749","511","803","938","986","759"
"Rennes","347","718","1186","106","827","894","572","","483","699","126","823","948","1013","241"
"Reims","143","487","955","516","347","786","198","483","","546","429","600","735","783","725"
"Saint-Étienne","523","64","491","661","552","322","750","698","548","","574","155","271","319","950"
"Angers","293","595","1062","88","773","770","511","128","429","576","","700","824","890","377"
"Grenoble","574","106","466","786","534","296","801","823","599","155","699","","245","293","1075"
"Nîmes","711","252","281","872","740","55","938","949","736","271","825","246","","108","1169"
"Aix-en-Provence","757","298","178","970","786","153","984","1013","781","317","889","291","106","","1267"
"Brest","590","971","1441","298","1070","1121","760","241","725","952","378","1076","1171","1269",""
"","","","","","","","","","","","","","","",""
"Tableau des distances entre les villes de France: ","","","","","","","","","","","","","","",""
"https://www.bonnesroutes.com/tableau-distances-entre-villes/fr/","","","","","","","","","","","","","","",""
